id;contact_name;contact_email;driver_employee_number
1;lime Centralized;Licensed platforms;Fresh
2;Ameliorated;Rustic;navigating
3;Decentralized deposit Street;EXE;bus
4;PCI Steel;transitional;Optional
5;Future Granite;compress Agent;Accounts architecture
6;Solutions Port turquoise;Spain Loan;Intuitive
7;Vista orchid Configurable;Fantastic withdrawal;Hungary Centralized Gorgeous
8;payment Plastic Nepal;Tennessee;Producer
9;website groupware;Account;Montana
10;Principal;multi-byte Administrator Grocery;Latvia Secured backing
