id;min_rating;max_rating;rating;tags;prompt;campaign;comment;customer_number;sales_organization;distribution_channel;division
1;38804;47799;92865;Innovative Lebanon;Creative Liaison;open Incredible;Interface;Australia exploit;benchmark;aggregate ;Iraq Grani
2;11116;30416;40227;content magenta didactic;Associate;Graphic West;didactic neural;Berkshire unleash;Sum front-;Nebraska S;open-sourc
3;54196;97224;70807;port;Creative;directional Ameliorated;turquoise protocol;lime facilitate;core Maine;Canada Bul;payment Gl
4;66884;70068;14974;EXE disintermediate;Trail Avon connect;Global;backing Brazil compress;SAS Intelligent;Practical;Zimbabwe W;Korea
5;46666;94075;38466;PNG Gloves optimize;Zimbabwe;Fantastic;Borders engage;Islands Representative;payment;efficient;Granite tr
6;31721;92998;74491;Associate;Kids Global;synthesize;mobile Oregon;Keyboard transform navigate;plum;deposit Un;actuating 
7;45026;84591;34893;engineer;deposit red;virtual Mouse seamless;Usability homogeneous Visionary;Tasty;Implementa;Director;red Legacy
8;90419;78647;51096;deposit of National;communities digital Music;artificial;optical Soft ivory;violet SMTP driver;web;Ergonomic ;reboot cop
9;83726;58574;15848;transparent copying;Fresh Metrics holistic;USB;bluetooth leverage;Place Walk;Tools turn;connecting;Agent scal
10;71776;79170;90173;next-generation Iowa;Producer Bike Chips;bandwidth;success Fish;Granite;Product;Security s;B2C Cotton
